UserId:ItemId,Rating
34cb28c370:33ce7ee122,5
34cb28c370:eab9e065e5,5
34cb28c370:f785763291,4
34cb28c370:5f8185d75d,5
1dfcdde662:0eeef87507,5
7724ef1f69:cc5199f2f7,5
bc3b9136bc:82ae2469c6,5
89138b3fef:afced32639,4
89138b3fef:cea1eee489,5
ee46c55ce9:2bb8f34435,5
47fbb47c3e:355c1965c6,5
47fbb47c3e:ee96e33972,2
47fbb47c3e:ad9b954e7d,5
d9c70d1ac6:08094b7c2e,4
d9c70d1ac6:6d7faa7b56,3
972e7ee0b6:e89adb845b,3
972e7ee0b6:678dab68a5,1
972e7ee0b6:8952fbc06b,4
565cf650b0:d024341d3b,5
751afdc39b:a463ad7c2e,4
751afdc39b:16f1eee90f,5
751afdc39b:2ac929c26f,4
e9440489d3:18e8d8d43c,4
26d30a08c5:87b2ec63e1,4
26d30a08c5:f35698f27c,5
5e83d4a0b7:5f7978e83a,5
26d30a08c5:c032d35dbb,4
eb98bae7af:8e5c639a87,5
a13b02f7c3:c0a8373027,5
c1c4ae27c3:6e1fd87e63,5
a13b02f7c3:891382c830,5
a13b02f7c3:e1f9b71896,5
d41a4e4da8:400223b755,4
d41a4e4da8:4c7ff10720,5
546759892e:2234de8d67,5
546759892e:bcc676609e,3
546759892e:0a41bf5da7,1
008b7b011c:21652fd957,5
5e457c2085:9ddbfe25f8,5
5e457c2085:bc2279b81d,5
5e457c2085:096ae30da5,5
5e457c2085:931388028d,4
5e457c2085:2b3d167a17,5
5e457c2085:7235786b8d,4
330aa062c7:4f0563e0bb,4
a2c86e7468:4b231b0598,5
a2c86e7468:4727387d16,2
aceb777ebd:966647bebb,5
aceb777ebd:6e1fd87e63,5
57849301c6:398e8bc25f,5
57849301c6:ded3746396,5
57849301c6:1aff1789e4,5
57849301c6:296df466ee,4
cdcec4838e:a633d03ee2,4
cdcec4838e:5cfa210a0f,5
cdcec4838e:4bd6f61461,5
cdcec4838e:0abaa2e984,4
cdcec4838e:1b250e51a2,5
16330c5624:28828e9f25,5
16330c5624:c3d6bde8d8,4
16330c5624:838e23bb03,4
16330c5624:dc0f931de3,5
16330c5624:5da037069c,4
2ca54470a2:d540cf6848,4
f0ebb92675:3adfe81e56,4
f0ebb92675:2398a3e27f,5
f0ebb92675:4f392a0971,5
f0ebb92675:942749c0c7,5
f0ebb92675:100940ccba,2
f0ebb92675:d1664ac0e5,5
f0ebb92675:4be56a9594,5
f0ebb92675:ae3257080b,1
f0ebb92675:a8dbb709a5,5
d9ec7ed142:bcb2d19497,1
d9ec7ed142:851d603e31,4
d3e354ee2b:f03aa32f8e,5
d3e354ee2b:bb4ba16881,5
aab88ae533:0b32ae8e43,4
aab88ae533:6700846e95,5
aab88ae533:1c060ae707,5
aab88ae533:dfe7f12ec2,5
aab88ae533:3c89cb966b,4
aab88ae533:a13a53f4d5,1
aab88ae533:4c4386636e,5
aab88ae533:b321ac937d,5
aab88ae533:12713ca3f1,5
6d37da671e:d6bd460efd,5
6d37da671e:da787358cf,4
7a0bd51366:ec45156bd3,5
dea3adfa34:ba65ad117b,3
dea3adfa34:5a46b76f0b,5
dea3adfa34:8e3a8a2bef,5
ef9cfd0d1c:38fdd2db62,5
ef9cfd0d1c:88fecf8db0,5
185a12e494:803217abb1,5
185a12e494:118ca3c667,4
ddf717ec75:c873665b79,5
185a12e494:217e5ffabb,5
185a12e494:6907a4675c,4
185a12e494:9860becdf9,3
185a12e494:77f1e582b8,5
185a12e494:d885562a71,5
185a12e494:9e0f9c923d,5
3a6a459c93:f58828c635,5
3a6a459c93:6440416c7a,5
3a6a459c93:7debc49244,3
3a6a459c93:53bdc48070,5
1774c14e11:dfe07192b1,5
a4cda62033:f28b3a918a,1
aa6b19dc05:c4668916d5,1
0b7d6a161e:564544570b,5
0b7d6a161e:a949117d65,4
0b7d6a161e:456d542d96,4
0b7d6a161e:c0a8cffd4f,3
0b7d6a161e:5a314e477b,5
b03c96ae95:65863a333e,2
b03c96ae95:ea4a640ee8,1
b03c96ae95:4a462b00a3,4
8be0f9bdd2:df1925cabe,5
8be0f9bdd2:52f832378c,4
8be0f9bdd2:c7abc90288,5
8be0f9bdd2:026bbdda8f,5
a4a2208915:2dd00f4732,1
a4a2208915:81ea9ed40d,5
a4a2208915:c58fdd36e9,3
a4a2208915:a2cfbe2fdf,5
a4a2208915:b1dc9e599c,4
ef52726391:a42cfbf563,5
150f61ba17:b0cb992b8c,3
150f61ba17:81aa308e9a,4
150f61ba17:c33371937e,4
150f61ba17:e2b8aa5153,5
150f61ba17:6de64cd2f4,1
150f61ba17:e575a406be,5
150f61ba17:b51e345632,4
150f61ba17:6f063124cf,5
150f61ba17:0e822f21e6,1
150f61ba17:f79ba71507,5
150f61ba17:15ca9f7d93,3
150f61ba17:e226c1587a,5
150f61ba17:eed0f2241f,4
150f61ba17:91819bc4d1,4
150f61ba17:6cf52212c0,4
150f61ba17:1c45fd2cab,2
150f61ba17:60848b9674,4
150f61ba17:092ed48aee,5
150f61ba17:b993a0057f,5
150f61ba17:a31d02ff77,5
150f61ba17:0fc259888c,5
150f61ba17:31cb01e219,4
150f61ba17:5623a5aedc,5
150f61ba17:e2a1b7411e,4
150f61ba17:3e32ed9418,3
150f61ba17:2e2d4de7c4,5
150f61ba17:b30b01fb7b,5
b77182a73d:043b8f541c,4
b77182a73d:adbe2a4f29,5
554dbc7ce2:d2efd8d4a7,5
adb5cc934b:8e51cd3a16,3
adb5cc934b:6f125d25be,4
3a23f54edf:6e99e74601,3
e7abe335f6:2c3487ac6a,5
ee0d7ccb0f:ca11e38e22,4
1fcb7c4d1f:750b2075cc,5
7d423bffc6:db37e569a4,1
7d423bffc6:caa66885a9,3
7d423bffc6:c39b07a1c9,5
8b4eebe4b7:27f0a18d2a,5
25a3c6f998:2654393df8,4
25a3c6f998:b69eddabcd,5
25a3c6f998:471ccdcab1,3
25a3c6f998:8bad9641e2,3
25a3c6f998:48db80ee5d,5
25a3c6f998:83b208ef22,4
25a3c6f998:8f18d8f146,5
25a3c6f998:8ee2dadcb9,5
adee0c7022:128ac79683,5
adee0c7022:1ef39f242a,5
c0ed3ac268:515f7759e4,5
ddc38b790d:14d4130e58,1
ddc38b790d:abc034e088,5
ddc38b790d:9e2c50f319,5
ddc38b790d:fee2e054b3,5
ddc38b790d:029c0b1a4d,1
ddc38b790d:80f7d76a07,2
956c5f450c:20d197e3df,4
511c59dd9d:41fa3e129b,4
81013010ee:a1930b7b68,5
7f6149e567:54a02b388e,4
7f6149e567:69b22bf055,5
147ae832d6:bf67fb05f6,5
99df26dee1:572bea0ce1,4
dedde4edc4:b19c8f3e7b,5
dedde4edc4:eef70e2981,1
dedde4edc4:c157c561c6,5
dedde4edc4:e49a144e36,4
99df26dee1:304c5f381f,5
99df26dee1:a949117d65,4
99df26dee1:28eae5d9e9,5
99df26dee1:a56c6fb001,5
99df26dee1:9e059578db,5
99df26dee1:2cdec2a67f,5
99df26dee1:f8ccdfb67b,5
99df26dee1:dbda6556ce,1
99df26dee1:c20fab43bd,5
051f535250:0bcea866db,5
051f535250:a2cfbe2fdf,5
f54a3552ca:b9cc525106,3
a026e381a6:ba5d192f9e,2
c8be3c0c5e:97deec4826,5
428feef0d0:19a360ed98,4
b5cc37b539:50be0a0890,4
b5cc37b539:0a3fa50984,5
b5cc37b539:e3cad1b771,4
4f25b5f57d:dbc2f8281b,3
4f25b5f57d:d0e22a57c2,5
4f25b5f57d:9c3907da9e,4
4f25b5f57d:86291d5dd5,4
1e0042a313:4b16fb4e21,3
1e0042a313:a201c230b8,2
1e0042a313:3fe117b1cc,5
1e0042a313:caf5c7f4d6,5
1e0042a313:025dfd6e3e,5
1e0042a313:debd6867b4,5
c03cdcd3a7:8851a9f246,5
1e0042a313:15daa1bbb0,5
1e0042a313:ca7ccc4042,3
1e0042a313:77809143e8,2
9a313d6970:a3a91a6f46,5
1e0042a313:d0e2842aa1,1
1e0042a313:4146159a6d,5
1e0042a313:491cb4672d,5
1e0042a313:ac508d5082,5
1e0042a313:4ec1ea224b,5
1e0042a313:aa376469bf,4
1e0042a313:cef09f6126,5
1e0042a313:83b0b4ef82,2
1e0042a313:238cf40892,5
f7c92dd64b:83a429bcba,2
1e0042a313:57b4f56f19,1
6eda7ff771:33efe0dc00,5
6eda7ff771:5bef6d6cf3,5
68efbd1b4b:81668f9856,4
6eda7ff771:455afb7c63,5
6eda7ff771:14fa896fd9,4
6eda7ff771:a4a8e44f0e,4
6eda7ff771:ccb302cfca,5
6eda7ff771:fc3572a405,5
6eda7ff771:a5d7675a62,4
6eda7ff771:5d198911da,5
6eda7ff771:f8ac608d54,5
6eda7ff771:db38dde30e,4
6eda7ff771:583e274725,4
6eda7ff771:dcdd254f88,5
6eda7ff771:f02f9d3387,4
6eda7ff771:ce64c1d487,5
6eda7ff771:6ba0c929b4,5
6eda7ff771:54b713876a,5
6eda7ff771:b981f13cf3,4
6eda7ff771:6b71404383,3
ce9195f89b:97ca891f39,5
6eda7ff771:ee4b56d7f0,4
ce9195f89b:baefe0a8aa,5
6eda7ff771:5e8e237e34,5
ce9195f89b:eb2135fa7f,4
6eda7ff771:7de7b8f27e,5
6eda7ff771:e7445e0bfc,3
e16708c684:ec473a11b2,5
e16708c684:fa1b7e9b1d,3
361745bfb6:74edc0ce8f,4
361745bfb6:5bef6d6cf3,5
6eda7ff771:aa13ab4331,5
